_id,neighborhood_municipality,infections,reinfections,deaths,hospitalizations,pcr_tests,positive_pcr_tests,update_date
92170,Aleppo,2188,169,19,28,2893,328,2023-05-15
92171,Allegheny Center (Pittsburgh),1703,195,5,19,3137,414,2023-05-15
92172,Allegheny West (Pittsburgh),524,76,0,5,1136,119,2023-05-15
92173,Allentown (Pittsburgh),3529,583,2,40,5171,679,2023-05-15
92174,Arlington (Pittsburgh),2607,397,9,36,4062,502,2023-05-15
92175,Arlington Heights (Pittsburgh),216,16,3,4,579,44,2023-05-15
92176,Aspinwall,2978,287,2,16,6344,630,2023-05-15
92177,Avalon,6604,796,13,88,10469,1202,2023-05-15
92178,Baldwin Borough,35203,4484,69,402,47470,6286,2023-05-15
92179,Baldwin Township,2668,191,2,16,3817,529,2023-05-15
92180,Banksville (Pittsburgh),6287,817,21,45,8689,1140,2023-05-15
92181,Bedford Dwellings (Pittsburgh),1613,286,6,43,2662,408,2023-05-15
92182,Beechview (Pittsburgh),10111,1085,19,99,16287,2119,2023-05-15
92183,Bell Acres,1380,178,6,13,2526,336,2023-05-15
92184,Bellevue,10200,1255,12,85,15798,2017,2023-05-15
92185,Beltzhoover (Pittsburgh),2265,386,5,53,3417,512,2023-05-15
92186,Ben Avon,1959,177,4,10,3693,436,2023-05-15
92187,Ben Avon Heights,414,23,0,0,830,105,2023-05-15
92188,Bethel Park,47413,5623,99,354,70683,8335,2023-05-15
92189,Blawnox,1543,180,4,21,2643,291,2023-05-15
92190,Bloomfield (Pittsburgh),12672,1307,11,79,26565,2446,2023-05-15
92191,Bluff (Pittsburgh),21639,1922,4,70,23340,2164,2023-05-15
92192,Bon Air (Pittsburgh),777,54,2,13,1448,212,2023-05-15
92193,Brackenridge,6338,871,24,92,9587,1000,2023-05-15
92194,Braddock,3204,526,1,56,5150,677,2023-05-15
92195,Braddock Hills,2335,392,5,38,4025,494,2023-05-15
92196,Bradford Woods,969,41,0,8,2048,266,2023-05-15
92197,Brentwood,14526,1638,22,111,20649,2799,2023-05-15
92198,Bridgeville,7781,776,16,63,9930,1427,2023-05-15
92199,Brighton Heights (Pittsburgh),10715,1437,16,124,17720,2191,2023-05-15
92200,Brookline (Pittsburgh),17206,1819,19,146,26287,3451,2023-05-15
92201,California-Kirkbride (Pittsburgh),1046,128,3,9,1813,221,2023-05-15
92202,Carnegie,10860,1480,13,77,15623,2182,2023-05-15
92203,Carrick (Pittsburgh),12674,1672,28,162,19581,2606,2023-05-15
92204,Castle Shannon,10743,1347,11,66,16526,2057,2023-05-15
92205,Central Business District (Pittsburgh),7257,478,1,41,17012,1389,2023-05-15
92206,Central Lawrenceville (Pittsburgh),9805,1304,23,67,16741,1259,2023-05-15
92207,Central Northside (Pittsburgh),4159,403,5,45,8193,912,2023-05-15
92208,Central Oakland (Pittsburgh),6283,333,1,9,15011,1152,2023-05-15
92209,Chalfant,863,54,1,9,1570,179,2023-05-15
92210,Chartiers City (Pittsburgh),654,101,2,12,1097,167,2023-05-15
92211,Chateau (Pittsburgh),262,62,0,1,491,54,2023-05-15
92212,Cheswick,2183,236,3,33,2844,404,2023-05-15
92213,Churchill,3036,242,6,39,6238,695,2023-05-15
92214,Clairton,9560,1307,21,145,14640,1987,2023-05-15
92215,Collier,11921,1419,12,55,16848,2373,2023-05-15
92216,Coraopolis,7813,1196,11,63,9710,1478,2023-05-15
92217,Crafton,7701,659,18,70,11796,1714,2023-05-15
92218,Crafton Heights (Pittsburgh),4876,568,7,41,7875,1141,2023-05-15
92219,Crawford-Roberts (Pittsburgh),3700,586,11,92,6487,865,2023-05-15
92220,Crescent,2997,539,9,31,4095,593,2023-05-15
92221,Dormont,10345,1229,7,60,16684,2070,2023-05-15
92222,Dravosburg,2549,372,6,36,3684,491,2023-05-15
92223,Duquesne,7788,1168,24,145,11876,1703,2023-05-15
92224,Duquesne Heights (Pittsburgh),3590,349,5,25,5664,729,2023-05-15
92225,East Allegheny (Pittsburgh),2587,321,5,38,4558,571,2023-05-15
